time,V(ideal_out),V(lpf_3rd_lt1818),I(Iin2)
0,0,-0.001710952,0
0.000000005,0,-0.001710952,0
5.00455E-09,6.66881E-12,-0.001710952,4.55084E-06
5.01365E-09,1.03081E-10,-0.001710952,1.36525E-05
5.03186E-09,1.86689E-09,-0.001710946,3.18559E-05
5.06826E-09,3.25362E-08,-0.001710895,6.82626E-05
5.14108E-09,5.01292E-07,-0.001710573,0.000141076
5.27923E-09,4.88862E-06,-0.001709114,0.00027923
5.46877E-09,2.60127E-05,-0.001705393,0.000468773
5.68356E-09,7.91082E-05,-0.001699307,0.000683562
5.78836E-09,0.000120786,-0.001695765,0.000788363
5.8026E-09,0.000128985,-0.00169525,0.000802601
5.81887E-09,0.000139125,-0.001694667,0.000818872
5.85141E-09,0.000161687,-0.001693534,0.000851415
5.9165E-09,0.000214867,-0.001691445,0.0009165
0.000000006,0.000293089,-0.001689027,0.001
6.00835E-09,0.000302569,-0.00168884,0.001
6.02505E-09,0.000322208,-0.001688498,0.001
6.05845E-09,0.000364945,-0.001688005,0.001
6.12525E-09,0.000465859,-0.001688062,0.001
6.25885E-09,0.000738916,-0.001694415,0.001
6.52605E-09,0.001531997,-0.00173315,0.001
6.81826E-09,0.002814815,-0.001825728,0.001
7.14081E-09,0.004839107,-0.002004013,0.001
7.45659E-09,0.007543576,-0.002254548,0.001
7.8334E-09,0.01178252,-0.002598941,0.001
8.25085E-09,0.01777238,-0.002879485,0.001
8.7301E-09,0.02629214,-0.002777728,0.001
9.19691E-09,0.03639949,-0.001674069,0.001
9.83844E-09,0.05326889,0.002793814,0.001
1.0815E-08,0.08382238,0.01675764,0.001
1.17916E-08,0.119242,0.0401515,0.001
1.27681E-08,0.1589596,0.07349639,0.001
1.37447E-08,0.2018279,0.1148728,0.001
1.47212E-08,0.2467879,0.1615425,0.001
1.56978E-08,0.292909,0.2109535,0.001
1.66744E-08,0.3394009,0.2612824,0.001
1.76509E-08,0.3856119,0.3114719,0.001
1.86275E-08,0.4310184,0.3609801,0.001
1.96041E-08,0.4752113,0.4094932,0.001
2.05806E-08,0.5178803,0.4567444,0.001
2.15572E-08,0.5587996,0.5024593,0.001
2.25337E-08,0.597814,0.5463777,0.001
2.35103E-08,0.6348264,0.5882924,0.001
2.44869E-08,0.669787,0.628071,0.001
2.54634E-08,0.7026842,0.6656536,0.001
2.644E-08,0.7335358,0.7010356,0.001
2.74166E-08,0.7623832,0.7342489,0.001
2.83931E-08,0.7892854,0.7653471,0.001
2.93697E-08,0.8143144,0.7943972,0.001
3.03462E-08,0.837551,0.8214757,0.001
3.13228E-08,0.8590825,0.8466669,0.001
3.22994E-08,0.8789992,0.8700606,0.001
3.32759E-08,0.8973936,0.8917508,0.001
3.42525E-08,0.9143576,0.9118335,0.001
3.52291E-08,0.929982,0.9304046,0.001
3.62056E-08,0.9443554,0.9475584,0.001
3.71822E-08,0.9575636,0.9633868,0.001
3.81587E-08,0.9696887,0.9779783,0.001
3.91353E-08,0.9808092,0.9914183,0.001
4.01119E-08,0.9909997,1.003788,0.001
4.10884E-08,1.00033,1.015164,0.001
4.2065E-08,1.008868,1.025619,0.001
4.30416E-08,1.016674,1.035223,0.001
4.40181E-08,1.023807,1.044039,0.001
4.49947E-08,1.030321,1.052129,0.001
4.59712E-08,1.036267,1.059548,0.001
4.69478E-08,1.041692,1.066349,0.001
4.79244E-08,1.046638,1.072582,0.001
4.89009E-08,1.051146,1.078292,0.001
4.98775E-08,1.055253,1.08352,0.001
5.08541E-08,1.058993,1.088306,0.001
5.18306E-08,1.062399,1.092686,0.001
5.28072E-08,1.065498,1.096694,0.001
5.37837E-08,1.068317,1.10036,0.001
5.47603E-08,1.070882,1.103712,0.001
5.57369E-08,1.073214,1.106777,0.001
5.67134E-08,1.075333,1.109579,0.001
5.769E-08,1.07726,1.11214,0.001
5.86666E-08,1.07901,1.11448,0.001
5.96431E-08,1.0806,1.116619,0.001
6.06197E-08,1.082044,1.118572,0.001
6.15962E-08,1.083355,1.120356,0.001
6.25728E-08,1.084546,1.121986,0.001
6.35494E-08,1.085626,1.123474,0.001
6.45259E-08,1.086607,1.124833,0.001
6.55025E-08,1.087497,1.126073,0.001
6.64791E-08,1.088305,1.127206,0.001
6.74556E-08,1.089037,1.12824,0.001
6.84322E-08,1.089702,1.129183,0.001
6.94087E-08,1.090304,1.130045,0.001
7.03853E-08,1.090851,1.130831,0.001
7.13619E-08,1.091347,1.131548,0.001
7.23384E-08,1.091796,1.132203,0.001
7.3315E-08,1.092203,1.1328,0.001
7.42916E-08,1.092573,1.133345,0.001
7.52681E-08,1.092907,1.133842,0.001
7.62447E-08,1.093211,1.134296,0.001
7.72212E-08,1.093486,1.13471,0.001
7.81978E-08,1.093735,1.135088,0.001
7.91744E-08,1.093961,1.135432,0.001
8.01509E-08,1.094166,1.135746,0.001
8.11275E-08,1.094351,1.136033,0.001
8.21041E-08,1.094519,1.136294,0.001
8.30806E-08,1.094671,1.136533,0.001
8.40572E-08,1.094809,1.13675,0.001
8.50337E-08,1.094934,1.136949,0.001
8.60103E-08,1.095047,1.13713,0.001
8.69869E-08,1.09515,1.137295,0.001
8.79634E-08,1.095242,1.137445,0.001
8.894E-08,1.095326,1.137583,0.001
8.99166E-08,1.095402,1.137708,0.001
9.18697E-08,1.095534,1.137926,0.001
9.38228E-08,1.095642,1.138108,0.001
9.57759E-08,1.09573,1.138259,0.001
9.77291E-08,1.095802,1.138384,0.001
9.96822E-08,1.095862,1.138489,0.001
1.01635E-07,1.095911,1.138576,0.001
1.03588E-07,1.09595,1.138648,0.001
1.06518E-07,1.095997,1.138734,0.001
1.09448E-07,1.096032,1.138799,0.001
1.12377E-07,1.096058,1.138849,0.001
1.14749E-07,1.096072,1.138878,0.001
1.17121E-07,1.096085,1.138903,0.001
1.19492E-07,1.096096,1.138924,0.001
1.21864E-07,1.096104,1.138942,0.001
1.24236E-07,1.096111,1.138956,0.001
1.26607E-07,1.096116,1.138966,0.001
1.28979E-07,1.096118,1.138972,0.001
1.33583E-07,1.096122,1.138981,0.001
1.38187E-07,1.096126,1.138989,0.001
1.4279E-07,1.096128,1.138995,0.001
1.47394E-07,1.09613,1.138999,0.001
1.51998E-07,1.096131,1.139002,0.001
1.56602E-07,1.096132,1.139003,0.001
1.61206E-07,1.096131,1.139003,0.001
0.000000506,1.096132,1.139004,0.001
5.06022E-07,1.096132,1.139004,0.000978263
5.06065E-07,1.096132,1.139004,0.000934791
5.06152E-07,1.096131,1.139004,0.000847845
5.06326E-07,1.096116,1.139001,0.000673952
5.06674E-07,1.096009,1.138994,0.000326168
0.000000507,1.095811,1.138986,0
5.07033E-07,1.095769,1.138985,0
5.07098E-07,1.095675,1.138985,0
5.07228E-07,1.095423,1.138991,0
5.07489E-07,1.094597,1.139036,0
5.08011E-07,1.091411,1.139248,0
5.08988E-07,1.080729,1.139544,0
5.09964E-07,1.063692,1.138208,0
5.10941E-07,1.039565,1.132258,0
5.11917E-07,1.009019,1.118321,0
5.12894E-07,0.9731053,1.094298,0
5.1387E-07,0.9329961,1.060278,0
5.14847E-07,0.8898425,1.018257,0
5.15824E-07,0.8446969,0.9710681,0
5.168E-07,0.798479,0.9213237,0
5.17777E-07,0.7519659,0.8708455,0
5.18753E-07,0.7057965,0.8206477,0
5.1973E-07,0.6604819,0.7712187,0
5.20706E-07,0.6164204,0.7228318,0
5.21683E-07,0.5739126,0.6757327,0
5.2266E-07,0.5331759,0.6301887,0
5.23636E-07,0.4943587,0.5864589,0
5.24613E-07,0.4575525,0.5447487,0
5.25589E-07,0.4228023,0.5051867,0
5.26566E-07,0.3901163,0.4678274,0
5.27542E-07,0.3594735,0.4326701,0
5.28519E-07,0.3308303,0.3996786,0
5.29495E-07,0.304126,0.3687966,0
5.30472E-07,0.2792874,0.3399553,0
5.31449E-07,0.2562327,0.3130773,0
5.32425E-07,0.2348743,0.2880779,0
5.33402E-07,0.2151211,0.2648666,0
5.34378E-07,0.196881,0.243349,0
5.35355E-07,0.1800618,0.2234293,0
5.36331E-07,0.164573,0.2050114,0
5.37308E-07,0.150326,0.1880012,0
5.38285E-07,0.1372357,0.172307,0
5.39261E-07,0.1252201,0.1578406,0
5.40238E-07,0.1142011,0.1445172,0
5.41214E-07,0.1041045,0.132256,0
5.42191E-07,0.09486052,0.1209805,0
5.43167E-07,0.0864032,0.1106181,0
5.44144E-07,0.07867081,0.1011005,0
5.4512E-07,0.07160563,0.0923637,0
5.46097E-07,0.06515384,0.08434759,0
5.47074E-07,0.05926537,0.07699614,0
5.4805E-07,0.05389373,0.07025711,0
5.49027E-07,0.04899587,0.06408191,0
5.50003E-07,0.04453195,0.0584254,0
5.5098E-07,0.04046518,0.05324576,0
5.51956E-07,0.03676166,0.04850423,0
5.52933E-07,0.03339015,0.04416501,0
5.5391E-07,0.03032191,0.040195,0
5.54886E-07,0.02753053,0.03656366,0
5.55863E-07,0.02499178,0.03324287,0
5.56839E-07,0.02268344,0.03020669,0
5.57816E-07,0.02058514,0.02743127,0
5.58792E-07,0.01867823,0.02489467,0
5.59769E-07,0.01694565,0.02257672,0
5.60745E-07,0.01537181,0.02045891,0
5.61722E-07,0.01394244,0.01852422,0
5.62699E-07,0.01264453,0.01675707,0
5.63675E-07,0.01146621,0.01514313,0
5.64652E-07,0.01039663,0.0136693,0
5.65628E-07,0.009425912,0.01232355,0
5.66605E-07,0.008545053,0.01109488,0
5.67581E-07,0.007745847,0.009973198,0
5.68558E-07,0.007020819,0.008949281,0
5.69535E-07,0.006363169,0.008014679,0
5.70511E-07,0.005766704,0.007161665,0
5.71488E-07,0.005225793,0.006383169,0
5.72464E-07,0.004735312,0.005672726,0
5.73441E-07,0.004290606,0.005024427,0
5.74417E-07,0.003887438,0.004432867,0
5.75394E-07,0.003521963,0.003893108,0
5.7637E-07,0.003190682,0.003400638,0
5.77347E-07,0.002890422,0.002951334,0
5.78324E-07,0.002618297,0.002541429,0
5.793E-07,0.002371688,0.002167482,0
5.80277E-07,0.002148218,0.001826351,0
5.81253E-07,0.001945728,0.001515166,0
5.8223E-07,0.00176226,0.001231308,0
5.83206E-07,0.001596036,0.000972385,0
5.84183E-07,0.001445443,0.000736211,0
5.8516E-07,0.001309018,0.000520794,0
5.86136E-07,0.001185435,0.000324315,0
5.87113E-07,0.001073489,0.000145111,0
5.88089E-07,0.000972088,-1.83325E-05,0
5.89066E-07,0.000880244,-0.000167399,0
5.90042E-07,0.000797059,-0.00030335,0
5.91019E-07,0.000721718,-0.000427339,0
5.91995E-07,0.000653485,-0.000540416,0
5.92972E-07,0.000591692,-0.000643539,0
5.93949E-07,0.000535731,-0.000737585,0
5.95902E-07,0.000439163,-0.000901563,0
5.97855E-07,0.000359979,-0.001037933,0
5.99808E-07,0.000295055,-0.001151337,0
6.01761E-07,0.000241828,-0.001245641,0
6.03714E-07,0.000198194,-0.001324059,0
6.06644E-07,0.000147039,-0.001417625,0
6.09574E-07,0.000109079,-0.001488568,0
6.12503E-07,8.09129E-05,-0.001542356,0
6.14735E-07,6.5682E-05,-0.001572271,0
6.16968E-07,5.24577E-05,-0.001598409,0
6.192E-07,4.12402E-05,-0.001620771,0
6.21432E-07,3.20294E-05,-0.001639357,0
6.23664E-07,2.48253E-05,-0.001654167,0
6.25896E-07,1.96279E-05,-0.001665201,0
6.28128E-07,1.64371E-05,-0.001672459,0
6.32453E-07,1.16404E-05,-0.001683225,0
6.36778E-07,7.69544E-06,-0.001692131,0
6.41103E-07,4.60234E-06,-0.001699176,0
6.45427E-07,2.36106E-06,-0.001704361,0
6.49752E-07,9.71591E-07,-0.001707685,0
6.54077E-07,4.33944E-07,-0.001709149,0
6.58402E-07,7.48116E-07,-0.001708752,0
9.42581E-07,1.88321E-19,-0.001710952,0
9.99222E-07,5.80122E-22,-0.001710952,0
0.000001,5.34776E-22,-0.001710952,0